## Project Information
Project Name: repo_to_process
Language: Python

## Project Structure
```
repo_to_process/
├── .github/
│   ├── workflows/
│   │   ├── bleeding-edge.yaml
│   │   ├── build-test.yaml
│   │   ├── type-checking.yaml
│   │   └── wheels.yaml
│   ├── config.yml
│   ├── dependabot.yml
│   ├── ISSUE_TEMPLATE.md
│   ├── mergeable.yml
│   └── PULL_REQUEST_TEMPLATE.md
├── .tours/
│   └── particle-indexing.tour
├── answer-store/
├── doc/
│   ├── extensions/
│   │   ├── config_help.py
│   │   ├── pythonscript_sphinxext.py
│   │   ├── README
│   │   ├── yt_colormaps.py
│   │   ├── yt_cookbook.py
│   │   └── yt_showfields.py
│   │       └── ... (1 more files)
│   ├── helper_scripts/
│   │   ├── code_support.py
│   │   ├── parse_cb_list.py
│   │   ├── parse_dq_list.py
│   │   ├── parse_object_list.py
│   │   ├── run_recipes.py
│   │   ├── show_fields.py
│   │   ├── split_auto.py
│   │   └── table.py
│   │       └── ... (3 more files)
│   ├── source/
│   │   ├── _static/
│   └── typecheck.txt
├── tests/
│   ├── DD0000/
│   │   ├── moving7_0000
│   │   ├── moving7_0000.boundary
│   │   ├── moving7_0000.boundary.hdf
│   │   ├── moving7_0000.grid0001
│   │   ├── moving7_0000.grid0002
│   │   ├── moving7_0000.grid0003
│   │   └── moving7_0000.hierarchy
│   │       └── ... (2 more files)
│   ├── DD0010/
│   │   ├── moving7_0010
│   │   ├── moving7_0010.boundary
│   │   ├── moving7_0010.boundary.hdf
│   │   ├── moving7_0010.cpu0000
│   │   ├── moving7_0010.hierarchy
│   │   └── moving7_0010.procmap
│   │       └── ... (1 more files)
│   ├── pytest_mpl_baseline/
│   ├── ci_install.sh
│   ├── local001.bak
│   ├── local001.dat
│   ├── local001.dir
│   ├── matplotlibrc
│   ├── nose_runner.py
│   ├── pytest_runner.py
│   ├── README
│   ├── report_failed_answers.py
│   ├── tests.yaml
│   └── unpin_requirements.py
│       └── ... (6 more files)
├── yt/
│   ├── _maintenance/
│   │   ├── __init__.py
│   │   ├── backports.py
│   │   ├── deprecation.py
│   │   ├── ipython_compat.py
│   │   └── numpy2_compat.py
│   ├── analysis_modules/
│   │   ├── absorption_spectrum/
│   │   │   ├── __init__.py
│   │   │   └── api.py
│   │   ├── cosmological_observation/
│   │   │   ├── __init__.py
│   │   │   └── api.py
│   │   ├── halo_analysis/
│   │   │   ├── __init__.py
│   │   │   └── api.py
│   │   ├── halo_finding/
│   │   │   ├── __init__.py
│   │   │   └── api.py
│   │   ├── halo_mass_function/
│   │   │   ├── __init__.py
│   │   │   └── api.py
│   │   ├── level_sets/
│   │   │   ├── __init__.py
│   │   │   └── api.py
│   │   ├── particle_trajectories/
│   │   │   ├── __init__.py
│   │   │   └── api.py
│   │   ├── photon_simulator/
│   │   │   ├── __init__.py
│   │   │   └── api.py
│   │   ├── ppv_cube/
│   │   │   ├── __init__.py
│   │   │   └── api.py
│   │   ├── radmc3d_export/
│   │   │   ├── __init__.py
│   │   │   └── api.py
│   │   ├── spectral_integrator/
│   │   │   ├── __init__.py
│   │   │   └── api.py
│   │   ├── star_analysis/
│   │   │   ├── __init__.py
│   │   │   └── api.py
│   │   ├── sunrise_export/
│   │   │   ├── __init__.py
│   │   │   └── api.py
│   │   ├── sunyaev_zeldovich/
│   │   │   ├── __init__.py
│   │   │   └── api.py
│   │   ├── two_point_functions/
│   │   │   ├── __init__.py
│   │   │   └── api.py
│   │   └── __init__.py
│   ├── data_objects/
│   │   ├── index_subobjects/
│   │   │   ├── __init__.py
│   │   │   ├── grid_patch.py
│   │   │   ├── octree_subset.py
│   │   │   ├── particle_container.py
│   │   │   ├── stretched_grid.py
│   │   │   └── unstructured_mesh.py
│   │   │       └── ... (1 more files)
│   │   ├── level_sets/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── clump_handling.py
│   │   │   ├── clump_info_items.py
│   │   │   ├── clump_tools.py
│   │   │   ├── clump_validators.py
│   │   │   └── contour_finder.py
│   │   │       └── ... (2 more files)
│   │   ├── selection_objects/
│   │   │   ├── __init__.py
│   │   │   ├── boolean_operations.py
│   │   │   ├── cut_region.py
│   │   │   ├── data_selection_objects.py
│   │   │   ├── disk.py
│   │   │   ├── object_collection.py
│   │   │   ├── point.py
│   │   │   ├── ray.py
│   │   │   ├── region.py
│   │   │   ├── slices.py
│   │   │   └── spheroids.py
│   │   │       └── ... (6 more files)
│   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── test_add_field.py
│   │   │   ├── test_bbox.py
│   │   │   ├── test_boolean_regions.py
│   │   │   ├── test_center_squeeze.py
│   │   │   ├── test_chunking.py
│   │   │   ├── test_clone.py
│   │   │   ├── test_compose.py
│   │   │   ├── test_connected_sets.py
│   │   │   ├── test_covering_grid.py
│   │   │   ├── test_cutting_plane.py
│   │   │   ├── test_data_collection.py
│   │   │   ├── test_data_containers.py
│   │   │   ├── test_dataset_access.py
│   │   │   ├── test_derived_quantities.py
│   │   │   ├── test_disks.py
│   │   │   ├── test_ellipsoid.py
│   │   │   ├── test_exclude_functions.py
│   │   │   ├── test_extract_regions.py
│   │   │   ├── test_firefly.py
│   │   │   ├── test_fluxes.py
│   │   │   ├── test_glue.py
│   │   │   ├── test_image_array.py
│   │   │   ├── test_io_geometry.py
│   │   │   ├── test_numpy_ops.py
│   │   │   ├── test_octree.py
│   │   │   ├── test_ortho_rays.py
│   │   │   ├── test_particle_filter.py
│   │   │   ├── test_particle_trajectories.py
│   │   │   ├── test_particle_trajectories_pytest.py
│   │   │   ├── test_pickling.py
│   │   │   ├── test_points.py
│   │   │   ├── test_profiles.py
│   │   │   ├── test_projection.py
│   │   │   ├── test_rays.py
│   │   │   ├── test_refinement.py
│   │   │   ├── test_regions.py
│   │   │   ├── test_registration.py
│   │   │   ├── test_slice.py
│   │   │   ├── test_sph_data_objects.py
│   │   │   ├── test_spheres.py
│   │   │   ├── test_time_series.py
│   │   │   └── test_units_override.py
│   │   │       └── ... (38 more files)
│   │   ├── __init__.py
│   │   ├── analyzer_objects.py
│   │   ├── api.py
│   │   ├── construction_data_containers.py
│   │   ├── data_containers.py
│   │   ├── derived_quantities.py
│   │   ├── field_data.py
│   │   ├── image_array.py
│   │   ├── particle_filters.py
│   │   ├── particle_trajectories.py
│   │   ├── particle_unions.py
│   │   ├── profiles.py
│   │   ├── region_expression.py
│   │   ├── static_output.py
│   │   ├── time_series.py
│   │   └── unions.py
│   │       └── ... (11 more files)
│   ├── extensions/
│   │   └── __init__.py
│   ├── fields/
│   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── test_ambiguous_fields.py
│   │   │   ├── test_angular_momentum.py
│   │   │   ├── test_field_access.py
│   │   │   ├── test_field_access_pytest.py
│   │   │   ├── test_field_name_container.py
│   │   │   ├── test_fields.py
│   │   │   ├── test_fields_plugins.py
│   │   │   ├── test_magnetic_fields.py
│   │   │   ├── test_particle_fields.py
│   │   │   ├── test_species_fields.py
│   │   │   ├── test_sph_fields.py
│   │   │   ├── test_vector_fields.py
│   │   │   └── test_xray_fields.py
│   │   │       └── ... (9 more files)
│   │   ├── __init__.py
│   │   ├── angular_momentum.py
│   │   ├── api.py
│   │   ├── astro_fields.py
│   │   ├── astro_simulations.py
│   │   ├── cosmology_fields.py
│   │   ├── derived_field.py
│   │   ├── domain_context.py
│   │   ├── field_aliases.py
│   │   ├── field_detector.py
│   │   ├── field_exceptions.py
│   │   ├── field_functions.py
│   │   ├── field_info_container.py
│   │   ├── field_plugin_registry.py
│   │   ├── field_type_container.py
│   │   ├── fluid_fields.py
│   │   ├── fluid_vector_fields.py
│   │   ├── geometric_fields.py
│   │   ├── interpolated_fields.py
│   │   ├── local_fields.py
│   │   ├── magnetic_field.py
│   │   ├── my_plugin_fields.py
│   │   ├── particle_fields.py
│   │   ├── species_fields.py
│   │   ├── tensor_fields.py
│   │   ├── vector_operations.py
│   │   └── xray_emission_fields.py
│   │       └── ... (22 more files)
│   ├── frontends/
│   │   ├── _skeleton/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (2 more files)
│   │   ├── adaptahop/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   └── io.py
│   │   │       └── ... (1 more files)
│   │   ├── ahf/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── fields.py
│   │   │   └── io.py
│   │   ├── amrex/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (2 more files)
│   │   ├── amrvac/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── datfile_utils.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   └── io.py
│   │   │       └── ... (2 more files)
│   │   ├── arepo/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── fields.py
│   │   │   └── io.py
│   │   ├── art/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   └── io.py
│   │   │       └── ... (1 more files)
│   │   ├── artio/
│   │   │   ├── artio_headers/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── _artio_caller.pyx
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   └── io.py
│   │   │       └── ... (2 more files)
│   │   ├── athena/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (2 more files)
│   │   ├── athena_pp/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (2 more files)
│   │   ├── boxlib/
│   │   │   ├── data_structures/
│   │   │   ├── fields/
│   │   │   ├── io/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── _deprecation.py
│   │   │   └── api.py
│   │   ├── cf_radial/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── fields.py
│   │   │   └── io.py
│   │   ├── chimera/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (2 more files)
│   │   ├── cholla/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (2 more files)
│   │   ├── chombo/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (2 more files)
│   │   ├── eagle/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   └── io.py
│   │   │       └── ... (1 more files)
│   │   ├── enzo/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── answer_testing_support.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   ├── misc.py
│   │   │   └── simulation_handling.py
│   │   │       └── ... (4 more files)
│   │   ├── enzo_e/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (2 more files)
│   │   ├── exodus_ii/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   ├── misc.py
│   │   │   ├── simulation_handling.py
│   │   │   └── util.py
│   │   │       └── ... (4 more files)
│   │   ├── fits/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (2 more files)
│   │   ├── flash/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (2 more files)
│   │   ├── gadget/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   ├── simulation_handling.py
│   │   │   └── testing.py
│   │   │       └── ... (3 more files)
│   │   ├── gadget_fof/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── fields.py
│   │   │   └── io.py
│   │   ├── gamer/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── cfields.pyx
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (3 more files)
│   │   ├── gdf/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (2 more files)
│   │   ├── gizmo/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   └── fields.py
│   │   ├── halo_catalog/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── fields.py
│   │   │   └── io.py
│   │   ├── http_stream/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   └── io.py
│   │   ├── moab/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (2 more files)
│   │   ├── nc4_cm1/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── fields.py
│   │   │   └── io.py
│   │   ├── open_pmd/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (2 more files)
│   │   ├── owls/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   ├── owls_ion_tables.py
│   │   │   └── simulation_handling.py
│   │   │       └── ... (2 more files)
│   │   ├── owls_subfind/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── fields.py
│   │   │   └── io.py
│   │   ├── parthenon/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (2 more files)
│   │   ├── ramses/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── field_handlers.py
│   │   │   ├── fields.py
│   │   │   ├── hilbert.py
│   │   │   ├── io.py
│   │   │   ├── io_utils.pyx
│   │   │   └── particle_handlers.py
│   │   │       └── ... (5 more files)
│   │   ├── rockstar/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   └── io.py
│   │   │       └── ... (1 more files)
│   │   ├── sdf/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (2 more files)
│   │   ├── sph/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── fields.py
│   │   │   └── io.py
│   │   ├── stream/
│   │   │   ├── sample_data/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── misc.py
│   │   │       └── ... (2 more files)
│   │   ├── swift/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── fields.py
│   │   │   └── io.py
│   │   ├── tipsy/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── definitions.py
│   │   │   ├── fields.py
│   │   │   └── io.py
│   │   │       └── ... (1 more files)
│   │   ├── ytdata/
│   │   │   ├── tests/
│   │   │   ├── __init__.py
│   │   │   ├── api.py
│   │   │   ├── data_structures.py
│   │   │   ├── fields.py
│   │   │   ├── io.py
│   │   │   └── utilities.py
│   │   │       └── ... (1 more files)
│   │   ├── __init__.py
│   │   └── api.py
│   ├── geometry/
│   │   ├── _selection_routines/
│   │   │   ├── always_selector.pxi
│   │   │   ├── boolean_selectors.pxi
